Source:,/home/pablo/Documents/CIAA-Repositories/Hardware/PCB/EDU-INTEL/edk.sch
Date:,Wed 11 Mar 2015 10:28:13 AM ART
Tool:,Eeschema (2015-01-17 BZR 5377)-product
Component Count:,86

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Descripcion
,,BT1,BATTERY,device:BATTERY,Pin_Headers:Pin_Header_Straight_1x02,,
,,C1,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C10,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C11,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C12,2.2uF,device:C,SMD_Packages:SMD-0603_c,,
,,C13,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C14,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C15,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C16,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C17,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C18,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C19,10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
,,C2,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C20,10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
,,C21,10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
,,C3,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C4,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C5,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C6,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C7,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C8,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,C9,100nF,device:C,SMD_Packages:SMD-0603_c,,
,,D1,LED,device:LED,LEDs:LED-0603,,
,,D2,PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
,,D3,PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
,,D4,PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
,,D5,LED,device:LED,LEDs:LED-0603,,
,,FB1,BLM18KG221SN1D,device:FILTER,SMD_Packages:SMD-0603,,
,,FB2,MMZ1608B601C,device:FILTER,SMD_Packages:SMD-0603,,
,,FB3,BLM18KG221SN1D,device:FILTER,SMD_Packages:SMD-0603,,
,,FB4,MMZ1608B601C,device:FILTER,SMD_Packages:SMD-0603,,
,,GS1,GS3,conn:GS3,Connect:GS3,,
,,GS2,GS3,conn:GS3,Connect:GS3,,
,,GS3,GS3,conn:GS3,Connect:GS3,,
,,H1,Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
,,H2,Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
,,H3,Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
,,H4,Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
,,J1,ZX62-AB-5PA,edk-cache:MICRO_USB,MicroUSB-ZX62AB&B-5PA:USB_microAB_ZX62-AB&B-5PA-11,,CONNECTOR RECEPTACLE MICRO USB AB SMD
,,J2,ZX62-B-5PA,edk-cache:MICRO_USB,MicroUSB-ZX62AB&B-5PA:USB_microAB_ZX62-AB&B-5PA-11,,CONNECTOR RECEPTACLE MICRO USB AB SMD
,,J3,SD-CON,sd-con:SD-CON,microsd:MicroSD_Hinged,,
,,JP1,CARD_DET,device:JUMPER,Pin_Headers:Pin_Header_Straight_1x02,,
,,P1,I/O,conn:CONN_02X10,Pin_Headers:Pin_Header_Straight_2x10,,
,,P2,I/O,conn:CONN_02X10,Pin_Headers:Pin_Header_Straight_2x10,,
,,P3,PWR,conn:CONN_02X04,Pin_Headers:Pin_Header_Straight_2x04,,
,,P4,5V_IN,conn:CONN_01X02,Connect:bornier2,,
,,P5,5V_IN,conn:CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,
,,Q1,BSS138,transistors:BSS138,SMD_Packages:SOT-23,,
,,Q2,BSS138DP,bss138dp:BSS138DP,ref_packages:-SOT363_PHILIPS,,
,,Q3,BSS138DP,bss138dp:BSS138DP,ref_packages:-SOT363_PHILIPS,,
,,R1,10k,device:R,SMD_Packages:SMD-0603_r,,
,,R10,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R11,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R12,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R13,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R14,10k,device:R,SMD_Packages:SMD-0603_r,,
,,R15,100k,device:R,SMD_Packages:SMD-0603_r,,
,,R16,576 1%,device:R,SMD_Packages:SMD-0603_r,,
,,R18,10k,device:R,SMD_Packages:SMD-0603_r,,
,,R19,1k,device:R,SMD_Packages:SMD-0603_r,,
,,R2,220,device:R,SMD_Packages:SMD-0603_r,,
,,R3,10k,device:R,SMD_Packages:SMD-0603_r,,
,,R4,10k,device:R,SMD_Packages:SMD-0603_r,,
,,R5,220,device:R,SMD_Packages:SMD-0603_r,,
,,R6,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R7,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R8,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,R9,4.7k,device:R,SMD_Packages:SMD-0603_r,,
,,SW1,POWER_BTN,device:SW_PUSH,Pin_Headers:Pin_Header_Straight_1x02,,
,,SW2,RCVR_MODE,device:SW_PUSH,Pin_Headers:Pin_Header_Straight_1x02,,
,,SW3,FWR_RCVR,device:SW_PUSH,Pin_Headers:Pin_Header_Straight_1x02,,
,,TR1,SRF2012,transf_unip:TRANSF_UNIP,srf2012:SRF2012,,
,,TR2,SRF2012,transf_unip:TRANSF_UNIP,srf2012:SRF2012,,
,,U1,TXB0108,TXB0108:TXB0108,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,
,,U10,TXB0108,TXB0108:TXB0108,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,
,,U11,NCP1117ST33T3G,regul:NCP1117ST33T3G,SMD_Packages:SOT-223,,
,,U12,NCP1117ST18T3G,regul:NCP1117ST33T3G,SMD_Packages:SOT-223,,
,,U2,INTEL_EDISON,intel_edison:INTEL_EDISON,intel_edison:INTEL_EDISON,,
,,U3,TXB0108,TXB0108:TXB0108,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,
,,U4,TXB0108,TXB0108:TXB0108,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,
,,U5,TXB0108,TXB0108:TXB0108,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,
,,U6,MIC2039EYMT,mic2039eymt:MIC2039EYMT,dfn6:DFN6_2x2mm_0.65Pitch,,
,,U7,PRTR5V0U2X,prtr5v0u2x:PRTR5V0U2X,opendous:SOT-143B,,
,,U8,FT232RQ,ft232rq:FT232RQ,SMD_Packages:QFN-32-1EP,,
,,U9,PRTR5V0U2X,prtr5v0u2x:PRTR5V0U2X,opendous:SOT-143B,,
,,ZA1,BZT52C5V6,device:ZENER,sod123_inv:SOD123_INV,,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Descripcion
1,1,BT1,BATTERY,device:BATTERY,Pin_Headers:Pin_Header_Straight_1x02,,
2,17,"C1, C10, C11, C13, C14, C15, C16, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",100nF,device:C,SMD_Packages:SMD-0603_c,,
3,1,C12,2.2uF,device:C,SMD_Packages:SMD-0603_c,,
4,3,"C19, C20, C21",10uF,device:CAPAPOL,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,,
5,2,"D1, D5",LED,device:LED,LEDs:LED-0603,,
6,3,"D2, D3, D4",PMEG3020EJ,device:DIODESCH,sod323:SOD323,,
7,2,"FB1, FB3",BLM18KG221SN1D,device:FILTER,SMD_Packages:SMD-0603,,
8,2,"FB2, FB4",MMZ1608B601C,device:FILTER,SMD_Packages:SMD-0603,,
9,3,"GS1, GS2, GS3",GS3,conn:GS3,Connect:GS3,,
10,4,"H1, H2, H3, H4",Mounting hole,device:TST,Mounting_Holes:MountingHole_3mm,,
11,1,J1,ZX62-AB-5PA,edk-cache:MICRO_USB,MicroUSB-ZX62AB&B-5PA:USB_microAB_ZX62-AB&B-5PA-11,,CONNECTOR RECEPTACLE MICRO USB AB SMD
12,1,J2,ZX62-B-5PA,edk-cache:MICRO_USB,MicroUSB-ZX62AB&B-5PA:USB_microAB_ZX62-AB&B-5PA-11,,CONNECTOR RECEPTACLE MICRO USB AB SMD
13,1,J3,SD-CON,sd-con:SD-CON,microsd:MicroSD_Hinged,,
14,1,JP1,CARD_DET,device:JUMPER,Pin_Headers:Pin_Header_Straight_1x02,,
15,2,"P1, P2",I/O,conn:CONN_02X10,Pin_Headers:Pin_Header_Straight_2x10,,
16,1,P3,PWR,conn:CONN_02X04,Pin_Headers:Pin_Header_Straight_2x04,,
17,2,"P4, P5",5V_IN,conn:CONN_01X02,Connect:bornier2,,
18,1,Q1,BSS138,transistors:BSS138,SMD_Packages:SOT-23,,
19,2,"Q2, Q3",BSS138DP,bss138dp:BSS138DP,ref_packages:-SOT363_PHILIPS,,
20,5,"R1, R14, R18, R3, R4",10k,device:R,SMD_Packages:SMD-0603_r,,
21,8,"R10, R11, R12, R13, R6, R7, R8, R9",4.7k,device:R,SMD_Packages:SMD-0603_r,,
22,1,R15,100k,device:R,SMD_Packages:SMD-0603_r,,
23,1,R16,576 1%,device:R,SMD_Packages:SMD-0603_r,,
24,1,R19,1k,device:R,SMD_Packages:SMD-0603_r,,
25,2,"R2, R5",220,device:R,SMD_Packages:SMD-0603_r,,
26,1,SW1,POWER_BTN,device:SW_PUSH,Pin_Headers:Pin_Header_Straight_1x02,,
27,1,SW2,RCVR_MODE,device:SW_PUSH,Pin_Headers:Pin_Header_Straight_1x02,,
28,1,SW3,FWR_RCVR,device:SW_PUSH,Pin_Headers:Pin_Header_Straight_1x02,,
29,2,"TR1, TR2",SRF2012,transf_unip:TRANSF_UNIP,srf2012:SRF2012,,
30,5,"U1, U10, U3, U4, U5",TXB0108,TXB0108:TXB0108,Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,,
31,1,U11,NCP1117ST33T3G,regul:NCP1117ST33T3G,SMD_Packages:SOT-223,,
32,1,U12,NCP1117ST18T3G,regul:NCP1117ST33T3G,SMD_Packages:SOT-223,,
33,1,U2,INTEL_EDISON,intel_edison:INTEL_EDISON,intel_edison:INTEL_EDISON,,
34,1,U6,MIC2039EYMT,mic2039eymt:MIC2039EYMT,dfn6:DFN6_2x2mm_0.65Pitch,,
35,2,"U7, U9",PRTR5V0U2X,prtr5v0u2x:PRTR5V0U2X,opendous:SOT-143B,,
36,1,U8,FT232RQ,ft232rq:FT232RQ,SMD_Packages:QFN-32-1EP,,
37,1,ZA1,BZT52C5V6,device:ZENER,sod123_inv:SOD123_INV,,
