ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
BT1;BK-913;BK-913-ND;Soporte batería CR2032;MPD (Memory Protection Devices);BK-913;../PCB/EDU-NXP/Datasheets;BK-913-ND;~;;
C1;10uF;c_1206_tantalio;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-CIAA/Datasheets;399-3525-1-ND;1206;;
C2;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C3;10uF;c_1206_tantalio;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-CIAA/Datasheets;399-3525-1-ND;1206;;
C4;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C5;10uF;c_1206_tantalio;CAP TANT 10UF 10V 10% 1206;Kemet;T491A106K010AT;..PCB/EDU-CIAA/Datasheets;399-3684-2-ND;1206;;
C6;10uF;c_1206_tantalio;CAP TANT 10UF 10V 10% 1206;Kemet;T491A106K010AT;..PCB/EDU-CIAA/Datasheets;399-3684-2-ND;1206;;
C7;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C8;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C9;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C10;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C11;20p;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-NXP/Datasheets;399-8033-1-ND;0805;;
C12;20p;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-NXP/Datasheets;399-8033-1-ND;0805;;
C13;20p;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-NXP/Datasheets;399-8033-1-ND;0805;;
C14;20p;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-NXP/Datasheets;399-8033-1-ND;0805;;
C15;20p;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-NXP/Datasheets;399-8033-1-ND;0805;;
C16;20p;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-NXP/Datasheets;399-8033-1-ND;0805;;
C17;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C18;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C19;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C20;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C21;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C22;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C23;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C24;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C25;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C26;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C27;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C28;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C29;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C30;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C31;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C32;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C33;10uF;c_1206_tantalio;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-CIAA/Datasheets;399-3525-1-ND;1206;;
C34;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C35;3.3uF;c_0805;CAP CER 3.3UF 16V 10% X7R 0805;TDK Corporation;C2012X7R1C335K125AB;..PCB/EDU-NXP/Datasheets;445-7582-1-ND;0805;;
C36;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C37;10uF;c_1206_tantalio;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-CIAA/Datasheets;399-3525-1-ND;1206;;
C38;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C39;10uF;c_1206_tantalio;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-CIAA/Datasheets;399-3525-1-ND;1206;;
C40;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C41;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C42;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C43;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C44;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C45;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C46;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C47;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C48;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C49;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
C50;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-NXP/Datasheets;399-1167-1-ND;0805;;
D1;PSD12C;DO-214AA(SMB);TVS DIODE 10.2VWM 16.7VC SMB;ON Semiconductor;P6SMB12CAT3G;PCB/EDU-NXP/Datasheets;P6SMB12CAT3GOSCT-ND;DO-214AA, SMB;;
D2;PSD12C;DO-214AA(SMB);TVS DIODE 10.2VWM 16.7VC SMB;ON Semiconductor;P6SMB12CAT3G;PCB/EDU-NXP/Datasheets;P6SMB12CAT3GOSCT-ND;DO-214AA, SMB;;
D3;PSD12C;DO-214AA(SMB);TVS DIODE 10.2VWM 16.7VC SMB;ON Semiconductor;P6SMB12CAT3G;PCB/EDU-NXP/Datasheets;P6SMB12CAT3GOSCT-ND;DO-214AA, SMB;;
D4;PMEG3020EH;DO-214AA(SMB);DIODE SCHOTTKY 30V 2A SOD123F;NXP Semiconductors;PMEG3020EH,115;...PCB/EDU-NXP/Datasheets;568-4129-1-ND;SOD-123F;;
D5;PMEG3020EH;DO-214AA(SMB);DIODE SCHOTTKY 30V 2A SOD123F;NXP Semiconductors;PMEG3020EH,115;...PCB/EDU-NXP/Datasheets;568-4129-1-ND;SOD-123F;;
D6;LED red;LED-0805;LED ALG RED WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-NXP/Datasheets;1080-1412-1-ND;0805;;
D7;LED;LED-0805;LED ALG RED WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-NXP/Datasheets;1080-1412-1-ND;0805;;
D8;LED;LED-0805;LED YELLOW WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-NXP/Datasheets;1080-1410-1-ND;0805;;
D9;LED;LED-0805;LED GREEN WATER CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-NXP/Datasheets;1080-1411-1-ND;0805;;
D10;PMEG3020EH;DO-214AA(SMB);DIODE SCHOTTKY 30V 2A SOD123F;NXP Semiconductors;PMEG3020EH,115;...PCB/EDU-NXP/Datasheets;568-4129-1-ND;SOD-123F;;
D11;LL4148;SOD-123;DIODE SMALL SIG 100V 0.2A SOD80;Fairchild Semiconductor;LL4148;..NXP/EDU-NXP/Datasheets;LL4148FSTR-ND;SOD-80;;
F1;fiducial;;;;;;;;;
F2;fiducial;;;;;;;;;
F3;fiducial;;;;;;;;;
F4;fiducial;;;;;;;;;
F5;fiducial;;;;;;;;;
F6;fiducial;;;;;;;;;
FB1;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-NXP/Datasheets;240-2392-1-ND;0805;;
FB2;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-NXP/Datasheets;240-2399-1-ND;0805;;
FB3;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-NXP/Datasheets;240-2399-1-ND;0805;;
FB4;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-NXP/Datasheets;240-2399-1-ND;0805;;
FB5;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-NXP/Datasheets;240-2392-1-ND;0805;;
FB6;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-NXP/Datasheets;240-2392-1-ND;0805;;
FB7;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-NXP/Datasheets;240-2399-1-ND;0805;;
FB8;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-NXP/Datasheets;240-2399-1-ND;0805;;
FB9;HZ0805E601R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-NXP/Datasheets;240-2392-1-ND;0805;;
FB10;HZ0805E601R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-NXP/Datasheets;240-2392-1-ND;0805;;
H1;4mm;;;;;;;;;
H2;4mm;;;;;;;;;
H3;4mm;;;;;;;;;
H4;4mm;;;;;;;;;
J1;TB_1X3;bornier3;TERM BLOCK 5.08MM VERT 3POS PCB;On Shore Technology Inc;OSTTC032162;..PCB/EDU-NXP/Datasheets;ED2610-ND;~;;
J2;ZX62D-AB-5P8;USB_microAB_ZX62-AB-5P8;CONN RCPT MCR USB AB SMD TH SHLL;Hirose Electric Co Ltd;ZX62D-AB-5P8;..PCB/EDU-NXP/Datasheets;H11494CT-ND;~;;
J3;ZX62D-AB-5P8;USB_microAB_ZX62-AB-5P8;CONN RCPT MCR USB AB SMD TH SHLL;Hirose Electric Co Ltd;ZX62D-AB-5P8;..PCB/EDU-NXP/Datasheets;H11494CT-ND;~;;
JP1;JUMPER-2;~;;;;;;;;
JP2;JUMPER-2;~;;;;;;;;
JP3;JUMPER-2;~;;;;;;;;
JP4;JUMPER-2;~;;;;;;;;
JP5;ISP;~;;;;;;;;
LED1;LED_ARBG;PLCC-4;LED RGB 605/525/470NM DIFF SMD;Lite-On Inc;LTST-C19FD1WT;..PCB/EDU-NXP/Datasheets;160-2022-1-ND;PLCC-4;;
P1;CONN_20X2;;;;;;;;;
P2;CONN_20X2;;;;;;;;;
P3;Cortex-Debug;Pin_Array_5x2_1.27mm_SMD;CONN HDR 1.27MM SMD AU 10POS;Harwin Inc;M50-3600542;..PCB/EDU-NXP/Datasheets;952-1389-ND;~;;
P4;5Vcc Input;Con_2P;CONN HEADER 2POS .100 VERT TIN;Molex Inc;0022232021;..PCB/EDU-NXP/Datasheet;WM4200-ND;~;;
PS1;USMF020;SM1210;FUSE RESETTABLE .20A 30V HLD SMD;Bourns Inc.;MF-USMF020-2;..PCB/EDU-NXP/Datasheets;MF-USMF020-2CT-ND;1210;;
PS2;USMF020;SM1210;FUSE RESETTABLE .20A 30V HLD SMD;Bourns Inc.;MF-USMF020-2;..PCB/EDU-NXP/Datasheets;MF-USMF020-2CT-ND;1210;;
Q1;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q3;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q4;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q5;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q9;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q10;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
