ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
R1;4K7;SM0805;RES 4.7K OHM 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-NXP/Datasheets;1276-5544-1-ND;0805;;
R2;4K7;SM0805;RES 4.7K ohm 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-NXP/Datasheets;1276-5544-1-ND;0805;;
R3;4K7;SM0805;RES 4.7K ohm 1/8 W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-NXP/Datasheets;1276-5544-1-ND;0805;;
R4;100K;SM0805;RES 100K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ104V;..PCB/EDU-NXP/Datasheets;P100KACT-ND;0805;;
R5;100K;SM0805;RES 100K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ104V;..PCB/EDU-NXP/Datasheets;P100KACT-ND;0805;;
R6;390;SM0805;RES 390 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-391-D;..PCB/EDU-NXP/Datasheets;RR12P390DCT-ND;0805;;
R7;200;SM0805;RES 200 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-201-D;..PCB/EDU-NXP/Datasheets;RR12P200DCT-ND;0805;;
R8;390;SM0805;RES 390 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-391-D;..PCB/EDU-NXP/Datasheets;RR12P390DCT-ND;0805;;
R9;100;SM0805;RES 100 OHM 1/2W 1% 0805 SMD;Panasonic Electronic Components;ERJ-P06F1000V;..PCB/EDU-NXP/Datasheets;P16057CT-ND;0805;;
R10;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R11;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R12;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R13;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R14;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R15;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R16;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R17;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R18;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R19;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R20;470;SM0805;RES 470 OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ471V;..PCB/EDU-NXP/Datasheets;P470ACT-ND;0805;;
R21;1k2;SM0805;RES 1.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT1K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT1K20CT-ND;0805;;
R22;1k2;SM0805;RES 1.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT1K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT1K20CT-ND;0805;;
R23;1k2;SM0805;RES 1.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT1K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT1K20CT-ND;0805;;
R57;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R58;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R59;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R60;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R61;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R62;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R63;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R64;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R65;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R66;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R68;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R70;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R71;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R72;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R73;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R74;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R76;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R82;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R83;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R84;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R85;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R90;100K;SM0805;RES 100K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ104V;..PCB/EDU-NXP/Datasheets;P100KACT-ND;0805;;
R91;10M;SM0805;RES 10M OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT10M0;..PCB/EDU-NXP/Datasheets;RMCF0805JT10M0CT-ND;0805;;
R92;12K;SM0805;RES 12K OHM 1/8W 1% 0805 SMD;Yageo;RC0805FR-0712KL;..PCB/EDU-NXP/Datasheets;311-12.0KCRCT-ND;0805;;
R93;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R94;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R95;2.2k;SM0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R96;15K;SM0805;RES 15.0K OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-153-D;..PCB/EDU-NXP/Datasheets;RR12P15.0KDCT-ND;0805;;
R97;2.2k;SM0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R98;15K;SM0805;RES 15.0K OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-153-D;..PCB/EDU-NXP/Datasheets;RR12P15.0KDCT-ND;0805;;
R99;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R100;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R101;2.2K;SM0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R102;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R103;12K 1%;SM0805;RES 12K OHM 1/8W 1% 0805 SMD;Yageo;RC0805FR-0712KL;..PCB/EDU-NXP/Datasheets;311-12.0KCRCT-ND;0805;;
R104;1k;SM0805;RES 15.0K OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-153-D;..PCB/EDU-NXP/Datasheets;RR12P15.0KDCT-ND;0805;;
R105;270;SM0805;RES 270 OHM 1/8W 5% 0805 SMD;Rohm Semiconductor;MCR10ERTJ271;../PCB/EDU-NXP/Datasheets;RHM270CPCT-ND;0805;;
R106;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R107;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R108;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R109;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R110;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
SW1;TEC_1;PUSH_SWITCH_THT;SWITCH TACTILE SPST-NO 0.05A 24V;TE Connectivity;1825910-7;../PCN/EDU-NXP/Datasheets;450-1804-ND;~;;
SW2;TEC_2;PUSH_SWITCH_THT;SWITCH TACTILE SPST-NO 0.05A 24V;TE Connectivity;1825910-7;../PCN/EDU-NXP/Datasheets;450-1804-ND;~;;
SW3;TEC_3;PUSH_SWITCH_THT;SWITCH TACTILE SPST-NO 0.05A 24V;TE Connectivity;1825910-7;../PCN/EDU-NXP/Datasheets;450-1804-ND;~;;
SW4;TEC_4;PUSH_SWITCH_THT;SWITCH TACTILE SPST-NO 0.05A 24V;TE Connectivity;1825910-7;../PCN/EDU-NXP/Datasheets;450-1804-ND;~;;
SW5;RESET;PUSH_SWITCH_THT;SWITCH TACTILE SPST-NO 0.05A 24V;TE Connectivity;1825910-7;../PCN/EDU-NXP/Datasheets;450-1804-ND;~;;
TH1;MF-MSMF030-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-NXP/Datasheets;MF-MSMF030-2CT-ND;1812;;
TH2;MF-MSMF110-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-NXP/Datasheets;MF-MSMF030-2CT-ND;1812;;
TH3;MF-MSMF030-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-NXP/Datasheets;MF-MSMF030-2CT-ND;1812;;
TH4;MF-MSMF110-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-NXP/Datasheets;MF-MSMF030-2CT-ND;1812;;
TR1;DLW21HN900SQ2;SRF2012;CHOKE COMMON MODE 90 OHM 0805;Murata Electronics North America;DLW21HN900SQ2L;../PCB/EDU-NXP/Datasheets;490-1064-2-ND;0805;;
TR2;DLW21HN900SQ2;SRF2012;CHOKE COMMON MODE 90 OHM 0805;Murata Electronics North America;DLW21HN900SQ2L;../PCB/EDU-NXP/Datasheets;490-1064-2-ND;0805;;
U1;SN65HVD1176DR;-SOIC8;IC RS485 PROFIBUS TXRX 8-SOIC;Texas Instruments;SN65HVD1176DR;../PCB/EDU-NXP/Datasheets;296-26337-1-ND;8-SOIC (0.154", 3.90mm Width);;
U2;PRTR5V0U2X;sot143B;TVS DIODE 5.5VWM SOT143B;NXP Semiconductors;PRTR5V0U2X,215;../PCB/EDU-NXP/Datasheets;568-4140-1-ND;SOT-143B;;
U3;NCP1117ST33T3G;SOT223;IC REG LDO 3.3V 1A SOT223;ON Semicinductor;NCP1117ST33T3G;../PCB/EDU-NXP/Datasheets;NCP1117ST33T3GOSCT-ND;SOT-223;;
U4;LPC4337JBD144;LQFP144-M05;IC MCU ARM 1MB FLASH 144LQFP;NXP Semiconductors;LPC4337JBD144E;../PCB/EDU-NXP/Datasheets;568-10159-ND;144-LQFP;;
U5;93C46;-SOIC8;IC EEPROM 1KBIT 2MHZ 8SOIC;Atmel;AT93C46DN-SH-T;../PCB/EDU-NXP/Datasheets;AT93C46DN-SH-TCT-ND;8-SOIC;;
U6;FT2232H;LQFP64-M05;IC USB HS DUAL UART/FIFO 64-LQFP;FTDI, Future Technology Devices International Ltd;FT2232HL-REEL;../PCB/EDU-NXP/Datasheets;768-1024-1-ND;64-LQFP;;
U7;TXB0108;tssop-20;IC 8-BIT TRNSTR 15KV ESD 20TSSOP;Texas Instruments;TXB0108PWR;../PCB/EDU-NXP/Datasheets;296-21527-1-ND;20-TSSOP;;
U8;PRTR5V0U2X;sot143B;TVS DIODE 5.5VWM SOT143B;NXP Semiconductors;PRTR5V0U2X,215;../PCB/EDU-NXP/Datasheets;568-4140-1-ND;SOT-143B;;
U9;MIC2025;-SOIC8;IC SW DISTRIBUTION 1CHAN 8SOIC;Micrel Inc;MIC2025-2YM;../PCB/EDU-NXP/Datasheets;576-1058-ND;8-SOIC;;
X1;32.768K;4SOJ;CRYSTAL 32.768KHZ 12.5PF SMD;Abracon Corporation;ABS25-32.768KHZ-T;../PCB/EDU-NXP/Datasheets;535-9166-1-ND;4-SOJ, 5.50mm pitch;;
X2;12MHz;FA238V-XTAL;CRYSTAL 12MHZ 12PF SMD;TXC CORPORATION;7S-12.000MAHE-T;../PCB/EDU-NXP/Datasheets;887-1831-1-ND;~;;
X3;12MHz;FA238V-XTAL;CRYSTAL 12MHZ 12PF SMD;TXC CORPORATION;7S-12.000MAHE-T;../PCB/EDU-NXP/Datasheets;887-1831-1-ND;~;;
ZA1;SMAZ5V6;SOD123F;DIODE ZENER 5.6V 500MW SOD123;ON Semiconductor;MMSZ5V6T1G;../PCB/EDU-NXP/Datasheets;MMSZ5V6T1GOSCT-ND;SOD-123;;
